epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1519,1.88847,2.66074,1.58829,0.00078,0.02632,0.00043,0.00015,3.4143,26.4761,7.29933,0.0706383,0.00326241,0.00326241
2,59.3814,1.79003,1.8522,1.59245,0.129,0.14812,0.0394,0.01363,2.85638,4.08709,2.28471,0.040573,0.00653045,0.00653045
3,76.1742,1.75004,1.65709,1.53648,0.00023,0.0255,9e-05,4e-05,4.05789,26.2475,3.91254,0.0104417,0.00973248,0.00973248
4,92.7444,1.7851,1.60378,1.57521,0.08762,0.23177,0.04849,0.01741,2.39008,15.7893,1.86532,0.009703,0.009703,0.009703
5,110.314,1.66337,1.52406,1.48735,0.28127,0.46328,0.32731,0.15543,1.84811,7.66291,1.66269,0.009604,0.009604,0.009604
6,127.563,1.61714,1.40233,1.47276,0.40861,0.48722,0.41877,0.18239,2.01835,3.31998,1.75071,0.009505,0.009505,0.009505
7,143.853,1.64376,1.39754,1.48177,0.6315,0.48496,0.49204,0.17817,1.95026,4.74229,1.81598,0.009406,0.009406,0.009406
8,160.394,1.59355,1.31168,1.47958,0.47947,0.38437,0.35701,0.17452,1.98134,2.67824,1.80907,0.009307,0.009307,0.009307
9,176.863,1.61143,1.31516,1.47032,0.76048,0.32851,0.42515,0.2028,2.02559,2.8901,1.77118,0.009208,0.009208,0.009208
10,193.76,1.56896,1.22071,1.44389,0.64147,0.55755,0.60031,0.23569,2.07064,2.34066,1.74662,0.009109,0.009109,0.009109
11,211.316,1.57745,1.22553,1.47231,0.86698,0.75102,0.83535,0.40052,1.83626,1.32116,1.53246,0.00901,0.00901,0.00901
12,227.783,1.56491,1.25642,1.42875,0.74586,0.75779,0.789,0.3767,1.76402,1.32976,1.57853,0.008911,0.008911,0.008911
13,243.946,1.56586,1.20065,1.44744,0.85345,0.73108,0.81756,0.45821,1.5993,1.25902,1.46837,0.008812,0.008812,0.008812
14,260.286,1.50266,1.15393,1.383,0.85999,0.77393,0.82162,0.42201,1.61304,1.27274,1.39936,0.008713,0.008713,0.008713
